,집계 날짜(sumDate),교통량(trafficSum)
317,20201230,3157629
318,20201229,3326378
319,20201228,3339486
320,20201227,2319069
321,20201226,2780745
322,20201225,2685817
323,20201224,3657689
324,20201223,3426543
325,20201222,3366458
326,20201221,3372026
327,20201220,2435646
328,20201219,3068838
329,20201218,3575498
330,20201217,3317712
331,20201216,3235541
332,20201215,3217321
333,20201214,3243354
334,20201213,2458115
335,20201212,3370581
336,20201211,3743239
337,20201210,3421378
338,20201209,3384849
339,20201208,3364617
340,20201207,3432682
341,20201206,2852845
342,20201205,3408688
343,20201204,3744514
344,20201203,3422371
345,20201202,3389130
346,20201201,3349641
347,20201130,3452539
348,20201129,2927763
349,20201128,3481999
350,20201127,3847747
351,20201126,3556040
352,20201125,3548268
353,20201124,3538527
354,20201123,3586858
355,20201122,3104717
356,20201121,3813158
357,20201120,3952774
358,20201119,3243511
359,20201118,3521496
360,20201117,3615961
361,20201116,3671225
362,20201115,3549610
363,20201114,4028388
364,20201113,4050111
365,20201112,3697988
366,20201111,3663155
367,20201110,3635263
368,20201109,3650202
369,20201108,3540391
370,20201107,4023362
371,20201106,4002679
372,20201105,3674586
373,20201104,3602955
374,20201103,3619408
375,20201102,3626099
376,20201101,3292826
377,20201031,4098889
378,20201030,4037873
379,20201029,3713264
380,20201028,3682564
381,20201027,3687282
382,20201026,3714851
383,20201025,3567664
384,20201024,4017285
385,20201023,4027365
386,20201022,3673163
387,20201021,3643684
388,20201020,3676691
389,20201019,3685934
390,20201018,3443133
391,20201017,3948231
392,20201016,3986483
393,20201015,3697837
394,20201014,3651811
395,20201013,3655724
396,20201012,3651246
397,20201011,3195212
398,20201010,3652948
399,20201009,3785375
400,20201008,3936964
401,20201007,3595680
402,20201006,3557941
403,20201005,3424458
404,20201004,2753378
405,20201003,3199634
406,20201002,3437111
407,20201001,3750859
408,20200930,3262802
409,20200929,3975918
410,20200928,3841851
411,20200927,3073225
412,20200926,3700415
413,20200925,3987352
414,20200924,3722292
415,20200923,3687539
416,20200922,3672412
417,20200921,3665615
418,20200920,3365530
419,20200919,3908240
420,20200918,3954396
421,20200917,3567129
422,20200916,3514733
423,20200915,3603457
424,20200914,3592748
425,20200913,3213507
426,20200912,3517262
427,20200911,3844751
428,20200910,3566603
429,20200909,3422757
430,20200908,3416554
431,20200907,2619756
432,20200906,2517529
433,20200905,3373083
434,20200904,3834594
435,20200903,3005895
436,20200902,2996452
437,20200901,3441947
438,20200831,3473665
439,20200830,2627529
440,20200829,3151130
441,20200828,3680941
442,20200827,2968354
443,20200826,3198114
444,20200825,3595354
445,20200824,3574011
446,20200823,2776418
447,20200822,3300008
448,20200821,3877989
449,20200820,3657781
450,20200819,3672576
451,20200818,3742858
452,20200817,3712155
453,20200816,3579731
454,20200815,3817054
455,20200814,4156968
456,20200813,3773060
457,20200812,3626738
458,20200811,3370959
459,20200810,3227014
460,20200809,2609396
461,20200808,2998978
462,20200807,3649591
463,20200806,3317564
464,20200805,3499816
465,20200804,3527493
466,20200803,3549170
467,20200802,3281898
468,20200801,3810733
469,20200731,4019903
470,20200730,3494723
471,20200729,3368587
472,20200728,3361279
473,20200727,3470494
474,20200726,3116827
475,20200725,3448490
476,20200724,3580969
477,20200723,3208026
478,20200722,3325248
479,20200721,3563672
480,20200720,3344354
481,20200719,2855557
482,20200718,3793899
483,20200717,3989457
484,20200716,3632236
485,20200715,3540803
486,20200714,3358089
487,20200713,3063316
488,20200712,3009325
489,20200711,3662900
490,20200710,3657939
491,20200709,3596320
492,20200708,3539763
493,20200707,3508018
494,20200706,3545819
495,20200705,3154619
496,20200704,3718037
497,20200703,3895842
498,20200702,3573118
499,20200701,3499113
500,20200630,3237580
501,20200629,3518469
502,20200628,3271495
503,20200627,3856535
504,20200626,3966508
505,20200625,3367805
506,20200624,3334090
507,20200623,3665067
508,20200622,3644569
509,20200621,3296125
510,20200620,3885170
511,20200619,3948409
512,20200618,3468674
513,20200617,3581091
514,20200616,3565895
515,20200615,3603205
516,20200614,2916850
517,20200613,3455384
518,20200612,3907318
519,20200611,3517947
520,20200610,3547877
521,20200609,3549816
522,20200608,3580980
523,20200607,3178695
524,20200606,3734569
525,20200605,3964895
526,20200604,3520671
527,20200603,3475262
528,20200602,3439047
529,20200601,3501125
530,20200531,3107216
531,20200530,3755065
532,20200529,3873246
533,20200528,3565153
534,20200527,3530587
535,20200526,3530127
536,20200525,3556440
537,20200524,2956395
538,20200523,3719848
539,20200522,3873089
540,20200521,3575115
541,20200520,3557496
542,20200519,3270716
543,20200518,3385375
544,20200517,3005467
545,20200516,3415171
546,20200515,3425051
547,20200513,3492090
548,20200512,3474630
549,20200511,3524273
550,20200510,3017811
551,20200509,3085794
552,20200508,4009639
553,20200507,3612486
554,20200506,3511866
555,20200505,3105178
556,20200504,3679540
557,20200503,3218586
558,20200502,3854126
559,20200501,3725573
560,20200430,3808838
561,20200429,3879276
562,20200428,3516121
563,20200427,3469294
564,20200426,2873535
565,20200425,3381958
566,20200424,3674559
567,20200423,3362554
568,20200422,3311000
569,20200421,3328069
570,20200420,3326450
571,20200419,2514334
572,20200418,3286059
573,20200417,3337377
574,20200416,3402744
575,20200415,2799654
576,20200414,3525606
577,20200413,3317007
578,20200412,2541160
579,20200411,3182764
580,20200410,3599020
581,20200409,3291111
582,20200408,3274354
583,20200407,3271129
584,20200406,3293337
585,20200405,2752808
586,20200404,3248020
587,20200403,3594209
588,20200402,3283967
589,20200401,3206812
590,20200331,3226450
591,20200330,3295146
592,20200329,2565862
593,20200328,5076768
594,20200327,3310378
595,20200326,3104208
596,20200325,3266900
597,20200324,3222817
598,20200323,3237137
599,20200322,2573749
600,20200321,3111175
601,20200320,3489073
602,20200319,3053695
603,20200318,3206904
604,20200317,3120150
605,20200316,3148491
606,20200315,2313836
